All,Alla
"Category Flat Data","Kategori ""flat"" data"
"Reorganize EAV category structure to flat structure","Omorganisera EAV kategoristruktur till ""flat"" struktur"
"Category Products","Produkter i kategori"
"Indexed category/products association","Indexerade kategori/produkter association"
"Product Categories",Produktkategorier
"Indexed product/categories association","Indexerade produktkategorier/föreningen"
"Product Price","Produktens pris"
"Index product prices","Index för produktpriser"
"Product EAV","Produkt EAV"
"Index product EAV","Index produkt EAV"
"Catalog New Products List","Katalog för nya produkter"
"List of Products that are set as New","Lista över produkter som är inställda som ny"
"Display Type",Visningstyp
"All products - recently added products, New products - products marked as new","Alla produkter - senast tillagda produkter, nya produkter - produkter märkta som ny"
"All products","Alla produkter"
"New products","Nya produkter"
"Display Page Control","Visa sidkontroll"
"Number of Products per Page","Produkter per sida"
"Number of Products to Display","Produkter att visa"
Template,Mall
"New Products Grid Template","Nya produkter tabell-mall"
"New Products List Template","Nya produkter list-mall"
"New Products Images and Names Template","Nya produkter bilder och namn mallar"
"New Products Names Only Template","Nya produkter enbart namn-mall"
"New Products Images Only Template","Nya produkter enbart bild-mall"
"Cache Lifetime (Seconds)","Cache-livstid (sekunder)"
"Catalog Product Link","Katalog produktlänk"
"Link to a Specified Product","Länk till en angiven produkt"
"Select Product...","Välj produkt..."
"Anchor Custom Text","Anpassad ankartext"
"If empty, we'll use the product name here.","Om tom, kommer vi använda produktens namn här."
"Anchor Custom Title","Ankarets anpassade titel"
"Product Link Block Template","Produktlänk blockmall"
"Product Link Inline Template","Produktlänk inline-mall"
"Catalog Category Link","Katalog kategorilänk"
"Link to a Specified Category","Länk till en angiven kategori"
"Select Category...","Välj kategori..."
"If empty, we'll use the category name here.","Om tom, används kategorinamn här."
"Category Link Block Template","Kategorilänk blockmall"
"Category Link Inline Template","Kategorilänk inline-mall"
"Recently Viewed Products","Nyligen visade produkter"
"List of Products Recently Viewed by Visitor","Lista över produkter som nyligen tittats på av besökare"
"UI Component","UI Komponent"
"Number of Products to display","Antal produkter att visa"
"Product attributes to show","Produktattribut att visa"
Image,Bild
"Learn More Link","Lär dig mer-länk"
"Buttons to show","Knappar att visa"
"Add to Wishlist","Lägg till i önskelista"
"Viewed Products Grid Template","Visade produkter rutnäts-mall"
"Viewed Products List Template","Visade produkter list-mall"
"Viewed Products Sidebar Template","Visade produkter sidofälts-mall"
"Recently Compared Products","Nyligen jämförda produkter"
"List of Products Recently Compared by Visitor","Lista över produkter nyligen jämförda av besökare"
"Compared Products Grid Template","Jämförda produkter rutnäts-mall"
"Compared Products List Template","Jämförda produkter listmall"
Set,Ange
"Category Information",Kategoriinformation
"Enable Category","Aktivera kategori"
"Include in Menu","Inkludera i menyn"
"Category Image",Kategoribild
"Add CMS Block","Lägg till CMS block"
"Display Settings",Visningsalternativ
Anchor,Ankare
"Use All","Använda alla"
"Layered Navigation Price Step","Lager-baserad navigation"
"URL Key",URL
"Meta Title",Metatitel
"Meta Keywords",Metanyckelord
"Meta Description",Metabeskrivning
"Products in Category","Produkter i kategori"
Theme,Tema
"Layout Update XML","Layout xmluppdatering"
"Apply Design to Products","Applicera design för produkter"
"Schedule Design Update","Schemalägg designuppdatering"
AttributeSetText,AttributUppsättningText
"Product Image Watermarks","Produktbild vattenstämplar"
Base,Bas
"Allowed file types: jpeg, gif, png.","Tillåtna filtyper: jpeg, gif, png."
"Image Opacity","Bild opacitet"
"Example format: 200x300.","Exempelformat: 200 x 300."
"Image Position",Bildposition
"Attribute Properties","Egenskaper för attribut"
"Attribute Label",Attributetikett
"Catalog Input Type for Store Owner","Inmatningstyp för butiksägare"
Values,Värden
"Add this attribute to the list of column options in the product grid.","Lägg till attributet i listan av kolumnalternativ i produkttabellen."
"Add this attribute to the list of filter options in the product grid.","Lägg till attributet i listan av filter-alternativ i produkttabellen."
"Delete selected items?","Vill du radera valda objekt?"
"Delete items","Ta bort objekt"
"Change status","Ändra status"
"Update attributes","Uppdatera attribut"
Overview,Översikt
"Skip to the end of the images gallery","Hoppa till slutet av bildgalleriet"
"Skip to the beginning of the images gallery","Hoppa till början av bildgalleriet"
"Recently Compared","Senast jämförda"
"Add To Cart","Lägg till i kundvagn"
"Add To Compare","Lägg till i jämförelse"
"Learn more","Lär dig mer"
"Recently Viewed","Senast visade"
from,från
to,till
"Maximum %1 characters","Max: %1 tecken"
remaining,återstående
"too many","för många"
"This value does not follow the specified format (for example, 200X300).","Detta värde följer inte det angivna formatet (till exempel 200 X 300)."
"Product Name or SKU","Produktnamn eller artikelnummer"
"Edit Event","Redigera händelse"
"Add Event","Lägg till händelse"
Events,Händelser
"Add Catalog Event","Lägg till Kataloghändelse"
"Back to Category","Tillbaka till kategori"
"Edit Catalog Event","Redigera kataloghändelse"
"Catalog Event Information","Information om kataloghändelse"
Upcoming,Kommande
Open,Öppna
Closed,Stängd
"Display Countdown Ticker On","Visa nedräkning på"
"Category Page",Kategorisida
"Product Page",Produktsida
"Coming Soon","Kommer snart"
"Sale Ends In","Rean slutar om"
"You deleted the event.","Du tog bort händelsen."
"New Event","Ny händelse"
"Something went wrong while saving this event.","Något gick fel när du sparade denna händelse."
"We did not upload your image.","Vi ladda inte upp din bild."
"You saved the event.","Du sparade händelsen."
"%1 is required.","%1 krävs."
"Please make sure the end date follows the start date.","Kontrollera att slutdatum är senare än startdatum."
"Event for selected category","Händelse för vald kategori"
"Lister Block",Listnings-block
"This product is no longer on sale.","Denna produkt är inte längre till försäljning."
"Some of these products can no longer be sold.","Vissa av dessa produkter kan inte längre säljas."
"Select Category","Välj kategori"
Days,Dagar
Hrs,Timmar
Mins,Minuter
Sec,Sekunder
"Preview Sale","Förhandsvisa försäljning"
"Go To Sale","Gå till försäljning"
"View Sale","Visa försäljning"
"Catalog Events",Katalog-händelser
"Enable Catalog Events Functionality","Aktivera funktioner för kataloghändelser"
"Enable Catalog Event Widget on Storefront","Aktivera widget för kataloghändelser i butiksvyn"
"Number of Events to be Displayed in Event Slider Widget","Antalet händelser som ska visas i widgeten Event Slider"
"You can override this default value in CMS using the limit=""x"" variable. Leave empty for no limitation.","Du kan åsidosätta det här standardvärdet i CMS genom att använda limit = ""x"" variabeln. Lämna tom för ingen begränsning."
"Events to Scroll per Click in Event Slider Widget","Händelser att scrolla per klick i Event Slider Widget"
"You can override this default value in CMS using the limit=""x"" variable.","Du kan åsidosätta det här standardvärdet i CMS genom att använda limit= ”x” variabeln."
"Frame Size",Ramstorlek
"Number of Items to display at once","Antal artiklar att visa på samma gång"
Scroll,Scrolla
"Number of Items to scroll per click","Antal objekt att scrolla per klick"
"If empty, we'll automatically set the width value in pixels.","Om tom, ställer vi automatiskt in bredd-värdet i pixlar."
"Category ID",Kategori-ID
Start,Starta
End,Slut
"Countdown Ticker",Nedräkningsklocka
"There are no product types available for export.","Det finns inga produkttyper tillgängliga för export."
"'Entity type model must be an instance of ' .","'Entity type model måste vara en instans av'."
"Wrong attribute set code ""%1"", please correct it and try again.","Fel kod för attributset ""%1"", vänligen ändra och försök igen."
"Category ""%1"" has not been created.","Kategori ""%1"" har inte skapats."
"File directory '%1' is not readable.","Filkatalog '%1' är inte läsbar."
"File directory '%1' is not writable.","Filkatalog '%1' är inte skrivbar."
"Please enter a value for title.","Vänligen ange ett värde för titel."
"This name is already being used for custom option. Please enter a different name.","Detta namn används redan för anpassade alternativ. Ange ett annat namn."
"Custom options have different types.","Anpassade alternativ har olika typer."
"Every option entity must have a parent product entity.","Varje alternativ måste ha en överordnad produkt."
"Please correct the parameters.","Vänligen rätta parametrarna."
"Minimum Qty","Minsta Antal"
"Add Minimum Qty","Lägg till Minsta Antal"
"Could not rebuild index for empty products array","Kunde inte återskapa index för tomma produkte"
"This product is out of stock.","Den här produkten är slut i lager."
"Some of the products are out of stock.","Några av produkterna är slut i lager."
"The stock item for Product in option is not valid.","Lagerstatus för produkten är inte giltigt."
"Undefined product type","Odefinierad produkttyp"
"%1 is not a correct comparison method.","%1 är inte en rätt jämförelsemetod."
"No Backorders","Inga restorder"
"Allow Qty Below 0","Tillåt antal under 0"
"Allow Qty Below 0 and Notify Customer","Tillåt antal under 0 och informera kunden"
"Stock Status",Lagerstatus
"Only %1 left","Endast %1 kvar"
"Decrease Stock When Order is Placed","Minska Produkter i Lager Efter Beställning"
"New Permission","Nya tillstånd"
"You already have a permission with this scope.","Du har redan ett tillstånd med detta scope."
(Allow),(Tillåt)
(Deny),(Neka)
"Category Permissions",Kategoribehörigheter
"Browsing Category","Bläddra kategori"
"Display Product Prices","Visa produktpriser"
"No, Redirect to Landing Page","Nej, omdirigering till landningssida"
"Permission with the same scope","Rättigheter med samma omfång"
"You may need more permissions to access this category.","Du behöver högre behörighet för att visa webbsidan ""%1""."
"You may need more permissions to access this product.","Du behöver högre behörighet för att visa webbsidan ""%1""."
"You cannot add ""%1"" to the cart.","Du kan inte lägga till ""%1"" i varukorgen."
"Permissions do not depend on store views.","Behörigheter beror inte på butiker."
"All Customer Groups","Alla kundgrupper"
Allow,Tillåt
Deny,Avvisa
"Use parent","Använd Förälder"
"Category Permissions Section",Kategoribehörigheter
"Landing Page",Landningssida
"Allow Adding to Cart","Tillåt tillägg i varukorgen"
"Catalog Category Permissions","Katalog kategoribehörigheter"
"Indexed permissions for products","Indexerade behörigheter för produkter"
"Delete Rule","Ta bort regel"
"Save and Apply","Spara och tillämpa"
"Catalog Price Rule",Katalogprisregel
"Add New Rule","Lägg till en Ny Regel"
"Apply Rules","Tillämpa regler"
Conditions,Villkor
Promotions,Kampanjer
"We found updated rules that are not applied. Please click ""Apply Rules"" to update your catalog.","Det finns regler med ändringar som inte har tillämpats. Klicka på ""Tillämpa regler"" för att uppdatera sortimentet."
"You deleted the rule.","Du tog bort regeln."
"New Catalog Price Rule","Ny katalogprisregel"
"Edit Rule","Redigera regel"
"New Rule","Ny regel"
"Conditions Combination",Villkorskombination
"Product Attribute",Produktattribut
"Rule Information","Information om regel"
"Rule Name",Regelnamn
Priority,Prioritet
"Smth went to exception","Smth gick till undantag"
"Scheduled Changes","Planerade förändringar"
"Update Information","Redigera information"
"Remove Catalog Price Rule from Update","Ta bort policyregel pris från Update"
